Die neue Stadt ist für ihn noch etwas Ungewohntes.;The new city is still something unfamiliar for him.;La nuova città per lui è ancora qualcosa di insolito.
Es fällt mir schwer, mich anzupassen.;I find it hard to adapt.;Per me è difficile adattarmi.
Kannst du mir das Problem genauer beschreiben?;Can you describe the problem to me in more detail?;Puoi descrivermi il problema più precisamente?
Nach dem großen Projekt ist die kleine Firma plötzlich pleite.;After the big project, the small company suddenly went bankrupt.;Dopo il grande progetto, la piccola azienda è improvvisamente fallita.
Die Küche riecht nach Knoblauch.;The kitchen smells of garlic.;La cucina odora di aglio.
Er beschwert sich ständig über den Lärm.;He constantly complains about the noise.;Si lamenta continuamente del rumore.
Ich wundere mich über seine Entscheidung.;I am surprised about his decision.;Mi stupisco della sua decisione.
Ich finde diesen Geruch widerlich.;I find this smell disgusting.;Trovo questo odore disgustoso.
Sie hat sich in ihren Nachbarn verliebt.;She fell in love with her neighbor.;Si è innamorata del suo vicino.
Bei Fragen können Sie sich an die Rezeption wenden.;If you have questions, you can contact the reception.;In caso di domande può rivolgersi alla reception.
Wer hat eigentlich das Internet erfunden?;Who actually invented the internet?;Chi ha inventato realmente Internet?
Komm bitte schnell rein, es regnet.;Please come inside quickly, it's raining.;Per favore entra subito, sta piovendo.
Du brauchst Brot und Milch. Was sonst noch?;You need bread and milk. What else?;Ti serve pane e latte. Cos'altro?
